"None","E(keV)","psi0rSi111","psi0iSi111","psihrSi111","psihiSi111","psihbrSi111","psihbiSi111"
284,16.15000,-3.7215E-006,2.2058E-008,1.9611E-006,1.5389E-008,1.9611E-006,1.5389E-008
285,16.20000,-3.6984E-006,2.1787E-008,1.9489E-006,1.5199E-008,1.9489E-006,1.5199E-008
286,16.25000,-3.6756E-006,2.1519E-008,1.9369E-006,0.000000015,1.9369E-006,0.000000015
287,16.30000,-0.000003653,2.1256E-008,1.9249E-006,1.4829E-008,1.9249E-006,1.4829E-008
288,16.35000,-3.6306E-006,0.000000021,1.9131E-006,1.4648E-008,1.9131E-006,1.4648E-008
289,16.40000,-3.6083E-006,2.0741E-008,1.9014E-006,1.447E-008,1.9014E-006,1.447E-008
290,16.45000,-3.5863E-006,2.049E-008,1.8898E-006,1.4295E-008,1.8898E-006,1.4295E-008
291,16.50000,-3.5645E-006,2.0242E-008,1.8783E-006,1.4122E-008,1.8783E-006,1.4122E-008
292,16.55000,-3.5429E-006,0.00000002,1.8669E-006,0.000000014,1.8669E-006,0.000000014
293,16.60000,-3.5215E-006,1.9757E-008,1.8556E-006,1.3784E-008,1.8556E-006,1.3784E-008
294,16.65000,-3.5003E-006,1.952E-008,1.8444E-006,1.3619E-008,1.8444E-006,1.3619E-008
295,16.70000,-3.4793E-006,1.9287E-008,1.8333E-006,1.3456E-008,1.8333E-006,1.3456E-008
296,16.75000,-3.4585E-006,1.9057E-008,1.8223E-006,1.3296E-008,1.8223E-006,1.3296E-008
297,16.80000,-3.4378E-006,1.8831E-008,1.8114E-006,1.3138E-008,1.8114E-006,1.3138E-008
298,16.85000,-3.4174E-006,1.8608E-008,1.8006E-006,0.000000013,1.8006E-006,0.000000013
299,16.90000,-3.3971E-006,1.8388E-008,1.7899E-006,1.2829E-008,1.7899E-006,1.2829E-008
300,16.95000,-0.000003377,1.8171E-008,1.7793E-006,1.2678E-008,1.7793E-006,1.2678E-008
301,17.00000,-3.3571E-006,0.000000018,1.7688E-006,1.2529E-008,1.7688E-006,1.2529E-008
302,17.05000,-3.3373E-006,1.7747E-008,1.7584E-006,1.2382E-008,1.7584E-006,1.2382E-008
303,17.10000,-3.3177E-006,1.754E-008,1.7481E-006,1.2237E-008,1.7481E-006,1.2237E-008
304,17.15000,-3.2983E-006,1.7336E-008,1.7378E-006,1.2095E-008,1.7378E-006,1.2095E-008
