K,Brightness1,F1,wavelength1,photonEnergy1,Brightness3,F3,wavelength3,photonEnergy3,Brightness5,F5,wavelength5,photonEnergy5,Brightness7,F7,wavelength7,photonEnergy7,Brightness9,F9,wavelength9,photonEnergy9,Brightness11,F11,wavelength11,photonEnergy11,Brightness13,F13,wavelength13,photonEnergy13,Brightness15,F15,wavelength15,photonEnergy15,Brightness17,F17,wavelength17,photonEnergy17,Brightness19,F19,wavelength19,photonEnergy19
" 1.156321e+00"," 8.829646e+20"," 3.806983e-01"," 6.049178e-10"," 2.048212e+00"," 5.951972e+20"," 2.559315e-01"," 2.016378e-10"," 6.144682e+00"," 1.954520e+20"," 1.097325e-01"," 1.209813e-10"," 1.024125e+01"," 5.635220e+19"," 4.074650e-02"," 8.640459e-11"," 1.433952e+01"," 1.546939e+19"," 1.406148e-02"," 6.720309e-11"," 1.843665e+01"," 4.140293e+18"," 4.640266e-03"," 5.498401e-11"," 2.253382e+01"," 1.093014e+18"," 1.485657e-03"," 4.652476e-11"," 2.663098e+01"," 2.857616e+17"," 4.653787e-04"," 4.032132e-11"," 3.072816e+01"," 7.416624e+16"," 1.433888e-04"," 3.557750e-11"," 3.482538e+01"," 1.923748e+16"," 4.361131e-05"," 3.183242e-11"," 3.892258e+01"
" 1.164445e+00"," 8.821697e+20"," 3.808859e-01"," 6.083354e-10"," 2.036705e+00"," 6.017346e+20"," 2.597474e-01"," 2.027770e-10"," 6.110161e+00"," 2.012384e+20"," 1.130416e-01"," 1.216648e-10"," 1.018371e+01"," 5.891926e+19"," 4.261368e-02"," 8.689276e-11"," 1.425896e+01"," 1.640435e+19"," 1.493072e-02"," 6.758276e-11"," 1.833308e+01"," 4.463930e+18"," 5.002680e-03"," 5.529465e-11"," 2.240723e+01"," 1.197454e+18"," 1.626298e-03"," 4.678762e-11"," 2.648137e+01"," 3.174514e+17"," 5.172699e-04"," 4.054912e-11"," 3.055553e+01"," 8.379303e+16"," 1.618304e-04"," 3.577850e-11"," 3.462973e+01"," 2.207835e+16"," 4.997839e-05"," 3.201227e-11"," 3.870391e+01"
" 1.172604e+00"," 8.804348e+20"," 3.810329e-01"," 6.117919e-10"," 2.025198e+00"," 6.100734e+20"," 2.635515e-01"," 2.039291e-10"," 6.075640e+00"," 2.070026e+20"," 1.164023e-01"," 1.223561e-10"," 1.012618e+01"," 6.157892e+19"," 4.454109e-02"," 8.738646e-11"," 1.417840e+01"," 1.742381e+19"," 1.584226e-02"," 6.796676e-11"," 1.822950e+01"," 4.804597e+18"," 5.388687e-03"," 5.560883e-11"," 2.228063e+01"," 1.311058e+18"," 1.778426e-03"," 4.705345e-11"," 2.633175e+01"," 3.526647e+17"," 5.742697e-04"," 4.077951e-11"," 3.038290e+01"," 9.451357e+16"," 1.824009e-04"," 3.598179e-11"," 3.443408e+01"," 2.522528e+16"," 5.719013e-05"," 3.219416e-11"," 3.848524e+01"
" 1.180799e+00"," 8.776789e+20"," 3.811396e-01"," 6.152878e-10"," 2.013692e+00"," 6.182155e+20"," 2.673422e-01"," 2.050944e-10"," 6.041120e+00"," 2.131132e+20"," 1.198137e-01"," 1.230553e-10"," 1.006864e+01"," 6.434616e+19"," 4.652959e-02"," 8.788582e-11"," 1.409784e+01"," 1.847367e+19"," 1.679750e-02"," 6.835514e-11"," 1.812592e+01"," 5.175856e+18"," 5.799478e-03"," 5.592659e-11"," 2.215404e+01"," 1.429290e+18"," 1.942817e-03"," 4.732233e-11"," 2.618214e+01"," 3.916862e+17"," 6.368099e-04"," 4.101254e-11"," 3.021027e+01"," 1.065086e+17"," 2.053166e-04"," 3.618740e-11"," 3.423843e+01"," 2.886868e+16"," 6.534687e-05"," 3.237812e-11"," 3.826658e+01"
" 1.189030e+00"," 8.771728e+20"," 3.812063e-01"," 6.188240e-10"," 2.002185e+00"," 6.261827e+20"," 2.711183e-01"," 2.062731e-10"," 6.006599e+00"," 2.188023e+20"," 1.232753e-01"," 1.237483e-10"," 1.001226e+01"," 6.717563e+19"," 4.857995e-02"," 8.839091e-11"," 1.401728e+01"," 1.957844e+19"," 1.779784e-02"," 6.874798e-11"," 1.802235e+01"," 5.567705e+18"," 6.236279e-03"," 5.624801e-11"," 2.202745e+01"," 1.560753e+18"," 2.120285e-03"," 4.759430e-11"," 2.603253e+01"," 4.338205e+17"," 7.053519e-04"," 4.124824e-11"," 3.003764e+01"," 1.196891e+17"," 2.308123e-04"," 3.639538e-11"," 3.404279e+01"," 3.296048e+16"," 7.455939e-05"," 3.256420e-11"," 3.804791e+01"
" 1.197299e+00"," 8.757483e+20"," 3.812333e-01"," 6.224010e-10"," 1.990678e+00"," 6.348028e+20"," 2.748784e-01"," 2.074655e-10"," 5.972078e+00"," 2.248653e+20"," 1.267861e-01"," 1.244636e-10"," 9.954716e+00"," 6.980875e+19"," 5.069295e-02"," 8.890184e-11"," 1.393672e+01"," 2.072217e+19"," 1.884468e-02"," 6.914537e-11"," 1.791877e+01"," 5.987990e+18"," 6.700354e-03"," 5.657314e-11"," 2.190085e+01"," 1.703227e+18"," 2.311687e-03"," 4.786941e-11"," 2.588292e+01"," 4.805388e+17"," 7.803883e-04"," 4.148667e-11"," 2.986501e+01"," 1.345449e+17"," 2.591429e-04"," 3.660575e-11"," 3.384714e+01"," 3.760969e+16"," 8.494977e-05"," 3.275244e-11"," 3.782925e+01"
" 1.205607e+00"," 8.745445e+20"," 3.812207e-01"," 6.260196e-10"," 1.979171e+00"," 6.424495e+20"," 2.786212e-01"," 2.086477e-10"," 5.938240e+00"," 2.309723e+20"," 1.303455e-01"," 1.251873e-10"," 9.897174e+00"," 7.280716e+19"," 5.286933e-02"," 8.941871e-11"," 1.385616e+01"," 2.192401e+19"," 1.993946e-02"," 6.954738e-11"," 1.781519e+01"," 6.417808e+18"," 7.193005e-03"," 5.690206e-11"," 2.177426e+01"," 1.854615e+18"," 2.517919e-03"," 4.814772e-11"," 2.573331e+01"," 5.300503e+17"," 8.624446e-04"," 4.172787e-11"," 2.969238e+01"," 1.509977e+17"," 2.905849e-04"," 3.681858e-11"," 3.365149e+01"," 4.277357e+16"," 9.665246e-05"," 3.294286e-11"," 3.761058e+01"
" 1.213954e+00"," 8.697940e+20"," 3.811689e-01"," 6.296805e-10"," 1.967664e+00"," 6.495094e+20"," 2.823452e-01"," 2.098679e-10"," 5.903715e+00"," 2.370873e+20"," 1.339525e-01"," 1.259193e-10"," 9.839632e+00"," 7.585482e+19"," 5.510976e-02"," 8.994162e-11"," 1.377560e+01"," 2.318666e+19"," 2.108359e-02"," 6.995409e-11"," 1.771162e+01"," 6.888766e+18"," 7.715571e-03"," 5.723482e-11"," 2.164766e+01"," 2.019347e+18"," 2.739920e-03"," 4.842929e-11"," 2.558369e+01"," 5.856109e+17"," 9.520804e-04"," 4.197190e-11"," 2.951975e+01"," 1.693489e+17"," 3.254371e-04"," 3.703389e-11"," 3.345584e+01"," 4.869134e+16"," 1.098152e-04"," 3.313551e-11"," 3.739191e+01"
" 1.222341e+00"," 8.673979e+20"," 3.810781e-01"," 6.333846e-10"," 1.956158e+00"," 6.573067e+20"," 2.860491e-01"," 2.111024e-10"," 5.869190e+00"," 2.435231e+20"," 1.376062e-01"," 1.266600e-10"," 9.782091e+00"," 7.905905e+19"," 5.741490e-02"," 9.047069e-11"," 1.369504e+01"," 2.450478e+19"," 2.227852e-02"," 7.036558e-11"," 1.760804e+01"," 7.388973e+18"," 8.269426e-03"," 5.757149e-11"," 2.152107e+01"," 2.196785e+18"," 2.978673e-03"," 4.871416e-11"," 2.543408e+01"," 6.465517e+17"," 1.049891e-03"," 4.221879e-11"," 2.934712e+01"," 1.896546e+17"," 3.640229e-04"," 3.725174e-11"," 3.326019e+01"," 5.526190e+16"," 1.246004e-04"," 3.333042e-11"," 3.717325e+01"
" 1.230769e+00"," 8.651162e+20"," 3.809484e-01"," 6.371324e-10"," 1.944651e+00"," 6.648099e+20"," 2.897315e-01"," 2.123515e-10"," 5.834666e+00"," 2.499520e+20"," 1.413058e-01"," 1.274095e-10"," 9.724549e+00"," 8.236294e+19"," 5.978536e-02"," 9.100602e-11"," 1.361448e+01"," 2.588693e+19"," 2.352567e-02"," 7.078195e-11"," 1.750446e+01"," 7.911209e+18"," 8.855982e-03"," 5.791215e-11"," 2.139447e+01"," 2.383793e+18"," 3.235206e-03"," 4.900241e-11"," 2.528447e+01"," 7.128146e+17"," 1.156509e-03"," 4.246860e-11"," 2.917449e+01"," 2.114375e+17"," 4.066914e-04"," 3.747216e-11"," 3.306455e+01"," 6.272271e+16"," 1.411857e-04"," 3.352764e-11"," 3.695458e+01"
